Date;PX_LAST;PX_VOLUME
26.09.2022;3.8335;19817776
23.09.2022;3.8534;38307072
22.09.2022;4.3986;19891765
21.09.2022;4.6542;8377869
20.09.2022;4.6372;7427195
19.09.2022;4.7384;9073960
16.09.2022;4.7479;29267584
15.09.2022;4.8501;7912713
14.09.2022;4.8426;7903660
13.09.2022;4.8729;9697595
12.09.2022;5.0489;9856936
09.09.2022;4.9031;8653817
08.09.2022;4.7687;8046855
07.09.2022;4.7072;6709947
06.09.2022;4.7328;6532281
05.09.2022;4.7318;9240979
02.09.2022;4.8842;12201848
01.09.2022;4.6021;13310433
31.08.2022;4.7896;8668006
30.08.2022;4.8426;5678013
29.08.2022;4.835;5062665
26.08.2022;4.8464;8092400
25.08.2022;4.9543;8822385
24.08.2022;4.8691;9339857
23.08.2022;4.852;9971004
22.08.2022;4.7366;12628116
19.08.2022;4.7763;9280988
18.08.2022;4.9694;5143696
17.08.2022;4.9297;11099677
16.08.2022;5.1398;6096244
15.08.2022;5.1303;6130647
12.08.2022;5.189;7178933
11.08.2022;5.0981;9067794
10.08.2022;5.066;10000948
09.08.2022;4.9088;8539912
08.08.2022;5.0811;7550238
05.08.2022;4.9732;6980813
04.08.2022;5.0054;9142634
03.08.2022;4.9221;9089798
02.08.2022;4.9164;15531376
29.07.2022;5.2439;13595658
28.07.2022;5.0981;18191842
27.07.2022;4.9315;20167719
26.07.2022;4.8823;10524229
25.07.2022;5.0906;10698416
22.07.2022;5.0489;8798222
21.07.2022;5.1455;11471424
20.07.2022;5.1814;7527846
19.07.2022;5.2023;11533000
18.07.2022;5.0603;12651166
15.07.2022;4.8975;14135974
14.07.2022;4.835;10129893
13.07.2022;5.0092;12679552
12.07.2022;5.206;8965144
11.07.2022;5.1171;6462697
08.07.2022;5.2458;9461178
07.07.2022;5.1341;9726559
06.07.2022;5.0243;8908017
05.07.2022;5.0224;13028258
04.07.2022;5.2515;6625514
01.07.2022;5.1341;8054848
30.06.2022;5.1303;15240659
29.06.2022;5.2969;8333186
28.06.2022;5.4219;8718610
27.06.2022;5.4332;12666789
24.06.2022;5.4143;17178472
23.06.2022;5.1493;13587423
22.06.2022;5.4465;8931546
21.06.2022;5.473;9402392
20.06.2022;5.4976;5547935
17.06.2022;5.4124;24054792
16.06.2022;5.3045;18677276
15.06.2022;5.5771;14832165
14.06.2022;5.5885;19173353
13.06.2022;5.6604;17369099
10.06.2022;5.8667;20290717
09.06.2022;6.2226;33207538
08.06.2022;6.5918;55440457
07.06.2022;6.3514;8796411
03.06.2022;6.2454;5343385
02.06.2022;6.2984;6432398
01.06.2022;6.3059;8667681
31.05.2022;6.3703;22604175
30.05.2022;6.7149;8024013
27.05.2022;6.5937;12754544
25.05.2022;6.3892;6313812
24.05.2022;6.376;10288599
23.05.2022;6.4366;9231135
20.05.2022;6.2302;8461705
19.05.2022;6.1791;11138905
18.05.2022;6.2851;11814003
17.05.2022;6.3381;11039240
16.05.2022;6.1715;10368013
13.05.2022;6.1602;13290120
12.05.2022;5.9765;12980632
11.05.2022;6.0239;13986266
10.05.2022;5.9292;13155666
09.05.2022;5.9406;10379262
06.05.2022;6.2927;9502965
05.05.2022;6.3571;12360699
04.05.2022;6.5426;9692060
03.05.2022;6.5255;13085946
02.05.2022;6.198;12696727
29.04.2022;6.3589;13560915
28.04.2022;6.0239;14907028
27.04.2022;6.0826;18635895
26.04.2022;6.2473;14234712
25.04.2022;6.3665;12526226
22.04.2022;6.5918;8557704
21.04.2022;6.7546;9403423
20.04.2022;6.7868;12845836
19.04.2022;6.889;7147832
14.04.2022;6.7944;8487297
13.04.2022;6.7243;7057606
12.04.2022;6.7716;8046751
11.04.2022;6.9117;7872593
08.04.2022;6.8909;7445798
07.04.2022;6.7451;8663167
06.04.2022;6.8095;9372088
05.04.2022;6.942;8412728
04.04.2022;7.0992;7170180
01.04.2022;7.0348;7468210
31.03.2022;6.9477;11614542
30.03.2022;7.1219;10727123
29.03.2022;7.2639;16092286
28.03.2022;7.0026;15036742
25.03.2022;7.1541;5510820
24.03.2022;7.1503;9384976
23.03.2022;7.1995;6816008
